8761000,     8764000,     USB, 10,  #55008080, 815
8764000,     8767000,     USB, 10,  #5500C9C9, 816
8767000,     8770000,     USB, 10,  #55008080, 817
8770000,     8773000,     USB, 10,  #5500C9C9, 818
8773000,     8776000,     USB, 10,  #55008080, 819
8776000,     8779000,     USB, 10,  #5500C9C9, 820
8779000,     8782000,     USB, 10,  #55008080, 821
8782000,     8785000,     USB, 10,  #5500C9C9, 822
8785000,     8788000,     USB, 10,  #55008080, 823
8788000,     8791000,     USB, 10,  #5500C9C9, 824
8791000,     8794000,     USB, 10,  #55008080, 825
8794000,     8797000,     USB, 10,  #5500C9C9, 826
8797000,     8800000,     USB, 10,  #55008080, 827
8800000,     8803000,     USB, 10,  #5500C9C9, 828
8803000,     8806000,     USB, 10,  #55008080, 829
8806000,     8809000,     USB, 10,  #5500C9C9, 830
8809000,     8812000,     USB, 10,  #55008080, 831
8812000,     8815000,     USB, 10,  #5500C9C9, 832
8815000,     8992000,     USB, 10,  #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
8992000,     8995000,     USB, 10,  #5090EE90, HFGCS
8995000,     9108100,     USB, 10,  #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
9108100,     9111100,     USB, 10,  #5500FF91, WEFAX Boston MA
9111100,     9400000,     USB, 10,  #55008080, Maritime
9400000,     9900000,     AM,  10,  #505D63FF, Shortwave (31m) Broadcast
9900000,     9980600,     USB, 10,  #55008080, Maritime
9980600,     9983600,     USB, 10,  #5500FF91, WEFAX Honolulu HI (Night)
9983600,     9995000,     USB, 10,  #55008080, Maritime
9995000,     10005000,    AM,  10,  #44FF00FF, WWV NIST
10005000,    10100000,    USB, 100, #40AFFFEE, Aeronautical (HFDL)
10100000,    10130000,    USB, 10,  #50FF0000, 30m Ham Band|
10130000,    10140000,    USB, 10,  #5000FF00, RTTY (30m)
10140000,    10150000,    USB, 10,  #5000B3FF, Packet |30m Ham Band
10150000,    10534100,    USB, 100, #55008080, Private Land Mobile
10534100,    10537100,    USB, 10,  #5500FF91, WEFAX Halifax CA
10537100,    11088100,    USB, 100, #55008080, Private Land Mobile
11088100,    11091100,    USB, 10,  #5500FF91, WEFAX Honolulu HI
11091100,    11175000,    USB, 100, #55008080, Private Land Mobile
11175000,    11178000,    USB, 100, #5090EE90, HFGCS
11178000,    11407000,    AM,  10,  #40AFFFEE, Transoceanic Flights (HFDL)
11407000,    11600000,    USB, 100, #55008080, Private Land Mobile
11600000,    12100000,    AM,  100, #505D63FF, Shortwave (25m) Broadcast
12100000,    12230000,    USB, 10,  #5500C9C9, Private Land Mobile
12100000,    12410600,    USB, 100, #55008080, (Ship/Shore) Maritime
12230000,    12233000,    USB, 10,  #55008080, ITU Ch.1201 (Ship TX)
12233000,    12236000,    USB, 10,  #5500C9C9, 1202
12236000,    12239000,    USB, 10,  #55008080, 1203
12239000,    12242000,    USB, 10,  #5500C9C9, 1204
12242000,    12245000,    USB, 10,  #55008080, 1205
12245000,    12248000,    USB, 10,  #5500C9C9, 1206
12248000,    12251000,    USB, 10,  #55008080, 1207
12251000,    12254000,    USB, 10,  #5500C9C9, 1208
12254000,    12257000,    USB, 10,  #55008080, 1209
12257000,    12260000,    USB, 10,  #5500C9C9, 1210
